Название при основании|Современное название|УчреждениеОткрытие|Период существования
Императорский Московский университет[15]|Московский государственный университет|12 (23) января 1755[16]26 апреля (7 мая) 1755|(1755—1917)
Императорский Дерптский университет(1802—1893)Императорский Юрьевский университет(1893—1917)[17]|Тартуский университет|4 (15) мая 17991 (13) мая 1802[18]|(1802—1917)
Императорский Виленский университет[19]|Вильнюсский университет|18 (30) мая 1803[18]|(1803—1832)
Императорский Харьковский университет[20]|Харьковский национальный университет|24 января (5 февраля) 180317 (29) января 1805[21]|(1803—1917)
Императорский Казанский университет[22]|Казанский государственный университет|5 (17) ноября 1804|(1804—1917)
Санкт-Петербургский Императорский университет(1821—1914)Петроградский Императорский университет(1914—1917)[23]|Санкт-Петербургский государственный университет|8 (20) февраля 18195 (17) ноября 1819|(1819—1917)
Императорский Киевский университет Святого Владимира[24]|Киевский национальный университет|15 (27) июля 1834|(1834—1917)
Императорский Новороссийский университет[25]|Одесский национальный университет|1 (13) мая 1865|(1865—1917)
Императорский Варшавский университет[26]|Варшавский университет|12 (24) октября 1869|(1869—1917)
Томский Императорский Университет[27]|Томский государственный университет|16 (28) мая 187822 июля (3 августа) 1888|(1888—1917)
Императорский Николаевский Саратовский университет|Саратовский государственный университет|10 (23) июня 1909[28]|(1909—1917)
