Награды и номинации|Награды и номинации|Награды и номинации|Награды и номинации|Награды и номинации
Год|Премия|Категория|Номинант|Результат
2000|Black Reel Awards|Лучшая актриса|Осажденные|Номинация
2001|Empire Awards|Лучшая британская актриса|Миссия невыполнима 2|Номинация
2003|Black Reel Awards|Лучшая актриса|Правда о Чарли|Номинация
2006|Black Reel Awards|Лучшая актриса второго плана|Столкновение|Номинация
2006|BAFTA Awards|Лучшая актриса второго плана|Столкновение|Победа
2006|Empire Awards|Лучшая актриса|Столкновение|Победа
2006|Black Reel Awards|Лучший актёрский состав|Столкновение|Победа
2006|London Critics Circle Film Awards|Лучшая актриса второго плана|Столкновение|Победа
2006|Screen Actors Guild Awards|Лучший актёрский состав|Столкновение|Победа
2007|Image Awards|Лучшая актриса второго плана|В погоне за счастьем|Номинация
2011|Black Reel Awards|Лучшая актриса|Песни о любви|Номинация
2016|IGN Summer Movie Awards|Лучшая телевизионная актриса|Мир дикого запада|Победа
2016|Critics Choice Television Awards|Лучшая актриса второго плана|Мир дикого запада|Победа
2017|Screen Actors Guild Awards|Лучший актерский состав|Мир дикого запада|Номинация
2017|Screen Actors Guild Awards|Лучшая актриса|Мир дикого запада|Номинация
2017|Online Film & Television Association|Лучшая актриса второго плана|Мир дикого запада|Победа
2017|Gold Derby Awards|Лучшая актриса второго плана|Мир дикого запада|Победа
2017|GALECA: The Society of LGBTQ Entertainment Critics|Лучшая актриса|Мир дикого запада|Номинация
2017|Black Reel Awards for Television|Лучшая актриса второго плана|Мир дикого запада|Победа
2017|Academy of Science Fiction, Fantasy & Horror Films, USA|Лучшая актриса второго плана|Мир дикого запада|Номинация
2017|Primetime Emmy Awards|Лучшая актриса второго плана|Мир дикого запада|Номинация
2017|Golden Globes, USA|Лучшая актриса второго плана|Мир дикого запада|Номинация
2018|Online Film & Television Association|Лучшая актриса второго плана|Мир дикого запада|Номинация
2018|Gold Derby Awards|Лучшая актриса второго плана|Мир дикого запада|Номинация
2018|Black Reel Awards for Television|Лучшая актриса второго плана|Мир дикого запада|Номинация
2018|BAFTA Awards|Лучшая актриса|По долгу службы (сериал)|Номинация
2018|Primetime Emmy Awards|Лучшая актриса второго плана|Мир дикого запада|Победа
2019|Image Awards|Лучшая актриса второго плана|Мир дикого запада|Номинация
2019|Broadcast Film Critics Association Awards|Лучшая актриса второго плана|Мир дикого запада|Победа
2019|Golden Globes, USA|Лучшая актриса второго плана|Мир дикого запада|Номинация
