0|1|2|3
Название рассказа|Год публикации|Где опубликован|Сборники рассказов
Госпожа Цзинь (金大奶奶)|1958|«Литературный журнал», выпуск 1 《文學雜誌》五卷1期|«Одинокие семнадцать лет»
Пойдем любоваться хризантемами (我們看菊花去)|1959|《文學雜誌》五卷5期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
Глухой гром (悶雷)|1959|《筆匯》革新號一卷6期|«Одинокие семнадцать лет»
Сестрица Юй-цин (玉卿嫂)|1960|《現代文學》第1期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
《月夢》|1960|《現代文學》第1期|«Одинокие семнадцать лет»
《黑虹》|1960|《現代文學》第2期|«Одинокие семнадцать лет»
《小陽春》|1961|《現代文學》第6期|«Одинокие семнадцать лет»
《青春》|1961|《現代文學》第7期|«Одинокие семнадцать лет»
《藏在褲袋裡的手》|1961|《現代文學》第8期|«Одинокие семнадцать лет»
Одинокие семнадцать лет (寂寞的十七歲)|1961|《現代文學》第11期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
《那晚的月光》/《畢業》|1962|《現代文學》第12期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
Смерть в Чикаго (芝加哥之死)|1964|《現代文學》第19期|«Одинокие семнадцать лет»
На небоскреб (上摩天樓去)|1964|《現代文學》第20期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
Гонконг — 1960 (香港——一九六〇)|1964|《現代文學》第21期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
《安樂鄉的一日》|1964|《現代文學》第22期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
《火島之行》|1965|《現代文學》第23期|«Повесть о земной судьбе небожителей», «Одинокие семнадцать лет»
Вечная Инь Сюэ-янь (永遠的尹雪豔)|1965|《現代文學》第24期|«Повесть о земной судьбе небожителей», «Тайбэйцы»
Повесть о земной судьбе небожительницы (謫仙記)|1965|《現代文學》第25期|«Повесть о земной судьбе небожителей», «Ньюйоркцы»
«Молодо-зелено» (一把青)|1966|《現代文學》第29期|«Тайбэйцы»
«Прогулка по саду, пробуждение от грез» (遊園驚夢)|1966|《現代文學》第30期|«Тайбэйцы»
В канун Нового года (歲除)|1967|《現代文學》第32期|«Тайбэйцы»
«Песнь о горе Лянфу» (梁父吟)|1967|《現代文學》第33期|«Тайбэйцы»
Прощальный вечер Цзинь-тайпань (金大班的最後一夜)|1968|《現代文學》第34期|«Тайбэйцы»
Кроваво-красные азалии (那片血一般紅的杜鵑花)|1969|《現代文學》第36期|«Тайбэйцы»
Жалоба низвергнутой небожительницы (謫仙怨)|1969|《現代文學》第37期|«Ньюйоркцы»
Ода о былом (思舊賦)|1969|《現代文學》第37期|«Тайбэйцы»
Небо в ярко-сверкающих звездах (滿天裡亮晶晶的星星)|1969|《現代文學》第38期|«Тайбэйцы»
Сиротливый цветок любви (孤戀花)|1970|《現代文學》第40期|«Тайбэйцы»
Зимний вечер (冬夜)|1970|《現代文學》第41期|«Тайбэйцы»
Славная лапшичная у Цветочного моста (花橋榮記)|1970|《現代文學》第42期|«Тайбэйцы»
Государственные похороны (國葬)|1971|《現代文學》第43期|«Тайбэйцы»
Осенние думы (秋思)|1971|《中國時報》|«Тайбэйцы»
Грешники (роман)|1977|《現代文學》復刊號第1期連載|«Грешники»
Ноктюрн (夜曲)|1979|《中國時報》「人間」副刊|«Ньюйоркцы»
《骨灰》|1986|《聯合文學》第26期|«Ньюйоркцы»
"«Дэнни Бой» (""Danny Boy"")"|2001|《中外文學》第30期第7卷|«Ньюйоркцы»
"«Чай вдвоем» (""Tea of Two"")"|2003|《聯合報》副刊|«Ньюйоркцы»
"«Тихая ночь» (""Silent Night"")"|2015|《聯合報》副刊|«Ньюйоркцы»（в переиздании 2017 года)
