№|Округ|Административный центр|Площадь,км²|Население(2004), чел.|Плотность,чел./км²
1.0|Брокопондо|Брокопондо|7364|14 215|193
2.0|Коммевейне|Ньив-Амстердам|2353|24 649|1048
3.0|Корони|Тотнесс|3902|2887|74
4.0|Маровейне|Албина|4627|16 642|360
5.0|Никкери|Ньив-Никкери|5353|36 639|684
6.0|Пара|Онвервахт|5393|18 749|348
7.0|Парамарибо|Парамарибо|183|242 946|132757
8.0|Сарамакка|Гронинген|3 636|15 980|439
9.0|Сипаливини|отсутствует|130 567|34 136|26
10.0|Ваника|Лелидорп|442|85 986|19454
|Всего||163 820|492 829|301
