Место|Пилот|Штурман|Команда|Машина|Класс|Время|Разница|Очки
1|Калле Рованпера|Йонне Халттунен|Toyota Gazoo Racing WRT|Toyota Yaris WRC|WRC|3:28:24.6|0.0|30
2|Отт Тянак|Мартин Ярвеойя|Hyundai Shell Mobis WRT|Hyundai i20 Coupe WRC|WRC|3:29:06.7|+42.1|19
3|Себастьен Ожье|Жюльен Инграссия|Toyota Gazoo Racing WRT|Toyota Yaris WRC|WRC|3:29:35.9|+1:11.3|18
4|Дани Сордо|Борха Росада|Hyundai Shell Mobis WRT|Hyundai i20 Coupe WRC|WRC|3:31:25.6|+3:01.0|12
5|Гас Гринсмит|Крис Паттерсон|M-Sport Ford WRT|Ford Fiesta WRC|WRC|3:34:09.6|+5:45.0|10
6|Элфин Эванс|Скотт Мартин|Toyota Gazoo Racing WRT|Toyota Yaris WRC|WRC|3:35:07.3|+6:42.7|12
7|Адриен Фурмо|Рено Жамуль|M-Sport Ford WRT|Ford Fiesta WRC|WRC|3:35:19.0|+6:54.4|6
8|Тьерри Невилль|Мартин Вайдаег|Hyundai Shell Mobis WRT|Hyundai i20 Coupe WRC|WRC|3:37:05.7|+8:41.1|6
9|Андреас Миккельсен|Элиотт Эдмондсон|Toksport WRT|Škoda Fabia R5 Evo|WRC-2|3:37:27.1|+9:02.5|2
10|Марко Буласиа Уилкинсон|Марсело Дер Оганесян|Toksport WRT|Škoda Fabia R5 Evo|WRC-2|3:37:43.8|+9:19.2|1
