Премия|Год|Фильм|Категория|Результат
«Оскар»|2020|«Паразиты»|Лучший фильм|Победа
«Оскар»|2020|«Паразиты»|Лучший режиссёр|Победа
«Оскар»|2020|«Паразиты»|Лучший оригинальный сценарий|Победа
«Оскар»|2020|«Паразиты»|Лучший фильм на иностранном языке|Победа
«Золотой глобус»|2020|«Паразиты»|Лучший режиссёр|Номинация
«Золотой глобус»|2020|«Паразиты»|Лучший сценарий|Номинация
BAFTA|2020|«Паразиты»|Лучший фильм|Номинация
BAFTA|2020|«Паразиты»|Лучший режиссёр|Номинация
BAFTA|2020|«Паразиты»|Лучший оригинальный сценарий|Победа
BAFTA|2020|«Паразиты»|Лучший фильм на иностранном языке|Победа
«Выбор критиков»|2020|«Паразиты»|Лучший режиссёр|Победа
«Выбор критиков»|2020|«Паразиты»|Лучший оригинальный сценарий|Номинация
«Независимый дух»|2010|«Мать»|Лучший иностранный фильм|Номинация
«Независимый дух»|2020|«Паразиты»|Лучший иностранный фильм|Победа
«Спутник»|2019|«Паразиты»|Лучший режиссёр|Номинация
«Спутник»|2019|«Паразиты»|Лучший оригинальный сценарий|Номинация
Каннский кинофестиваль|2006|«Вторжение динозавра»|C.I.C.A.E. Award|Номинация
Каннский кинофестиваль|2008|«Токио!»|Un Certain Regard Award|Номинация
Каннский кинофестиваль|2009|«Мать»|Un Certain Regard Award|Номинация
Каннский кинофестиваль|2017|«Окча»|Золотая пальмовая ветвь|Номинация
Каннский кинофестиваль|2019|«Паразиты»|Золотая пальмовая ветвь|Победа
«Сезар»|2020|«Паразиты»|Лучший иностранный фильм|Победа
«Давид ди Донателло»|2020|«Паразиты»|Лучший иностранный фильм|Победа
Премия Гильдии режиссёров США|2020|«Паразиты»|Лучший режиссёр|Номинация
Премия Гильдии продюсеров США|2020|«Паразиты»|Лучший фильм|Номинация
Премия Гильдии сценаристов США|2020|«Паразиты»|Лучший оригинальный сценарий|Победа
