Название|Участок|Длина, км
Большая Нева|от Дворцового до Благовещенского моста|122
Большая Нева|от Благовещенского моста до устья Фонтанки|240
Малая Нева||485
Екатерингофка||360
Ждановка||220
Смоленка||330
Большая Невка|от Невы до Малой Невки|370
Большая Невка|от Малой до Средней Невки|205
Большая Невка|от Средней Невки до Невской губы|215
Средняя Невка||260
Малая Невка||490
Карповка||300
Крестовка||74
Фонтанка||670
Мойка||467
канал Грибоедова||500
Пряжка||132
Крюков канал||115
Обводный канал||808
