№|Рестлер|Фото|Дата|Дней чемпионства|Город|Шоу|Примечания
1|Team 3D(Булли Рей и Дивон)||17 мая 2007|59|Орландо, Флорида, США|TNA Today|Первые в истории чемпионы.
2|Самоа Джо||15 июля 2007|28|Орландо, Флорида, США|Victory Road (2007)|В этом матче также участвовал Курт Энгл
3|Курт Энгл||12 августа 2007|15|Орландо, Флорида, США|Hard Justice (2007)|Матч один на один
4|Курт Энгл и Стинг||27 августа 2007|13|Орландо, Флорида, США|TNA Impact|Стинг победил Эй Джей Стайлза, Кристиан Кейджа, и Самоа Джо чтобы стать партнером Энгла
5|Team Pacman(Адам Джонс и Рон Килингс)||9 сентября 2007|35|Орландо, Флорида, США|No Surrender|Матч два на два
6|Christian's Coalition(Эй Джей Стайлз и Томко)||14 октября 2007|184|Джорджия, США|Bound for Glory|Матч два на два
7|Казариан и Эрик Янг||15 апреля 2008|-|Орландо, Флорида, США|TNA Impact|Чемпионство не признается TNA
-|Вакантный||15 апреля 2008|-|Орландо, Флорида, США|TNA Impact|Казариан и Эрик Янг были лишены титулов Джимом Корнетом
8|The Latin American Xchange(Эрнандес и Хомисайд)||11 мая 2008|91|Орландо, Флорида, США|Sacrifice|Победили Team 3D в финале турнира за вакантный титул
9|Beer Money, Inc.(Роберт Руд и Джеймс Шторм)||10 августа 2008|128|Трентон (Нью-Джерси), Нью-Джерси, США|Hard Justice (2008)|Матч два на два
10|Джей Литал и Последствия Крид||16 декабря 2008|26|Орландо, Флорида, США|TNA Impact|Матч два на два
11|Beer Money, Inc.(Роберт Руд и Джеймс Шторм)(2)||11 января 2009|98|Шарлотт, Северная Каролина, США|Genesis (2009)|В матче также участвовали Мэтт Морган и Абисс
12|Team 3D(Булли Рей и Дивон) (2)||19 апреля 2009|63|Филадельфия, Пенсильвания, США|Lockdown (2009)|В этом матче также разыгрывались командное чемпионство IWGP
13|Beer Money, Inc.(Роберт Руд и Джеймс Шторм)(3)||21 июня 2009|28|Мичиган, США|Slammiversary (2009)|Матч два на два
14|The Main Event Mafia(Букер Ти и Скот Штайнер)|"|"|19 июля 2009|91|Орландо, Флорида, США|Victory Road (2009)|Матч два на два
15|The British Invasion(Магнус и Дуглас Вильямс)||18 октября 2009|91|Калифорния, США|Bound for Glory (2009)|В этом матче также участвовали The Main Event Mafia и Team 3D
16|Эрнандес(2) и Мэтт Морган||17 января 2010|78|Орландо, Флорида, США|Genesis (2010)|Матч два на два
17|Мэтт Морган||5 апреля 2010|29|Орландо, Флорида, США|TNA Impact|Мэтт травмировал Эрнандеса и стал единственным чемпионом
18|The Band(Эрик Янг, Кевин Нэш, Скотт Холл)||4 мая 2010|41|Орландо, Флорида, США|TNA Impact|Матч три на одного
-|Вакантный||14 июня 2010|-|Орландо, Флорида, США|TNA Impact|Лишили титулов из-за юридических проблем Скотта Холла
19|The Motor City Machine Guns(Алекс Шелли и Крис Сейбин)||11 июля 2010|182|Орландо, Флорида, США|Victory Road (2010)|Победили Beer Money, Inc. у финале турнира за вакантный титул
20|Beer Money, Inc.(Роберт Руд и Джеймс Шторм)(3)||9 января 2011|212|Орландо, Флорида, США|Genesis (2011)|Роберт Руд сменил своё сценичное имя на Бобби Руд
21|Mexican America(Мэтт Барелла и Эрнандес(3))||9 августа 2011|97|Орландо, Флорида, США|TNA Impact|Матч два на два
22|Кримсон и Мэтт Морган(2)||14 ноября 2011|90|Орландо, Флорида, США|TNA Impact|Матч два на два
23|Магнус(2) и Самоа Джо(2)||12 февраля 2012|91|Орландо, Флорида, США|Against All Odds|Матч два на два
24|The World Tag Team Champions of the World(Кристофер Дениелс и Казариан)||13 мая 2012|28|Орландо, Флорида, США|TNA Impact|Матч два на два
25|Эй Джей Стайлз(2) и Курт Энгл(2)||10 июня 2012|18|Техас, США|Slammiversary X|Матч два на два
26|The World Tag Team Champions of the World(Кристофер Дениелс и Казариан) (2)||28 июня 2012|108|Орландо, Флорида, США|TNA Impact|Матч два на два
27|Чаво Герреро и Эрнандес(4)||14 октября 2012|103|Феникс, Аризона, США|Bound for Glory(2012)|В этом матче также приняли участие Эй Джей Стайлз и Курт Энгл
28|Бобби Руд(5) и Остин Эйрис||25 января 2013|76|Манчестер, Англия|TNA Impact|Матч два на два
29|Чаво Герреро(2) и Эрнандес(5)||11 апреля 2013|52|Техас, США|TNA Impact|Матч два из трёх фолов
30|Ганер и Джеймс Шторм(5)||2 июня 2013|140|Бостон, Массачусетс, США|Slammiversary XI|Четырёхсторонний матч на выбывание.В матче также участвовали Бобби Руд & Остин Эйрис и Дениелс & Казариан
31|The BroMans(Робби И и Джеси Годдерз)||2 марта 2014|126|Сан Диего, Калифорния, США|Bound for Glory(2014)|Матч два на два
32|The Wolves(Эдди Эдвардс и Дэйви Ричардс)||23 февраля 2014|7|Западная Вирджиния, США|Хаус Шоу|Матч два на два
33|The BroMans(Робби И и Джеси Годдерз) (2)||2 марта 2014|56|Токио, Япония|Kaisen: Outbreak(2014)|Также приняли участие Каз Хаяси и Сюдзи Кондо
34|The Wolves(Эдди Эдвардс и Дэйви Ричардс) (2)||27 апреля 2014|145|Орландо, Флорида, США|Sacrifice(2014)|Хандикап матч три на два включающий Ди Джей Зи
35|Революция(Абисс и Джеймс Шторм(6))||19 сентября 2014|133|Пенсильвания, США|TNA Impact|Матч два на два
36|The Wolves(Эдди Эдвардс и Дэйви Ричардс) (3)||30 января 2015|42|Манчестер, Англия|TNA Impact|Матч два на два
-|Вакантный||13 марта 2015|-|Орландо, Флорида, США|TNA Impact|"Во время одной из тв-записей TNA Эдди Эдвардс получил перелом пяточной кости, после чего на шоу в Орландо Дэйви Ричардс сделал титулы вакантными, пообещав что ""Волки"" вернуться в гонку за пояса после полного выздоровления Эдди"
37|The Hardy Boyz(Мэтт Харди и Джефф Харди)||16 марта 2015|54|Орландо, Флорида, США|TNA Impact|Победили Лоу Ки & Кенни Кинга, Итана Картера III & Брема и Бобби Рудда & Остина Эйриса в матче Ultimate X
-|Вакантный||8 мая 2015|-|Орландо, Флорида, США|TNA Impact|29 апреля Джефф Харди разбился на мотоцикле и сломал ногу, по этой причине на выпуске Impact Wrestling от 8 мая Мэтт сделал титулы вакантными
38|The Wolves(Эдди Эдвардс и Дэйви Ричардс) (4)||1 июля 2015|104+|Орландо, Флорида, США|TNA Impact|«Волки» победили в серии «три из пяти» команду Dirty Heels. Окончательную третью победу они одержали в 30-и минутном Iron Man матче, выиграв со счётом 2:1.
