Фильм|Лучший фильм|Лучший анимационный фильм|Лучший оригинальный сценарий|Лучшая музыка к фильму|Лучшая песня к фильму|Лучший звуковой монтаж|Лучший звук|Другое
История игрушек||Номинация не введена|Номинация|Номинация|Номинация|||За особые достижения
Приключения Флика||Номинация не введена||Номинация||||
История игрушек 2||Номинация не введена|||Номинация|||
Корпорация монстров||Номинация||Номинация|Победа|Номинация||
В поисках Немо||Победа|Номинация|Номинация||Номинация||
Суперсемейка||Победа|Номинация|||Победа|Номинация|
Тачки||Номинация|||Номинация|||
Рататуй||Победа|Номинация|Номинация||Номинация|Номинация|
ВАЛЛ-И||Победа|Номинация|Номинация|Номинация|Номинация|Номинация|
Вверх|Номинация|Победа|Номинация|Победа||Номинация||
История игрушек 3|Номинация|Победа|||Победа|Номинация||Лучший адаптированный сценарий
Храбрая сердцем||Победа||||||
Головоломка||Победа|Номинация|||||
Тайна Коко||Победа|||Победа|||
Суперсемейка 2||Номинация||||||
История игрушек 4||Победа|||Номинация|||
