Год|Победительницы|Финалистки|Счёт|Unnamed: 4
2021|Николь Мелихар Деми Схюрс|Мария Боузкова Луция Градецкая|6-2 6-4|
2020|Не проводился из-за пандемии коронавируса|Не проводился из-за пандемии коронавируса|Не проводился из-за пандемии коронавируса|Не проводился из-за пандемии коронавируса
2019|Анна-Лена Грёнефельд Алисия Росольска|Вероника Кудерметова Ирина Хромачёва|7-6(7) 6-2|
2018|Алла Кудрявцева Катарина Среботник (2)|Андрея Клепач Мария Хосе Мартинес Санчес|6-3 6-3|
2017|Бетани Маттек-Сандс (2) Луция Шафаржова (3)|Луция Градецкая Катерина Синякова|6-1 4-6 [10-7]|
2016|Каролин Гарсия Кристина Младенович (2)|Бетани Маттек-Сандс Луция Шафаржова|6-2 7-5|
2015|Мартина Хингис (2) Саня Мирза (2)|Кейси Деллакква Дарья Юрак|6-0 6-4|
2014|Анабель Медина Гарригес Ярослава Шведова|Чжань Юнжань Чжань Хаоцин|7-6(4) 6-2|
2013|Кристина Младенович Луция Шафаржова (2)|Андреа Главачкова Лизель Хубер|6-3 7-6(6)|
2012|Анастасия Павлюченкова Луция Шафаржова|Анабель Медина Гарригес Ярослава Шведова|5-7 6-4 [10-6]|
2011|Саня Мирза Елена Веснина|Бетани Маттек-Сандс Меганн Шонесси|6-4 6-4|
2010|Лизель Хубер Надежда Петрова (2)|Михаэлла Крайчек Ваня Кинг|6-3 6-4|
2009|Бетани Маттек-Сандс Надежда Петрова|Лига Декмейере Патти Шнидер|6-7(5) 6-2 [11-9]|
2008|Катарина Среботник Ай Сугияма|Эдина Галловиц Ольга Говорцова|6-2 6-2|
2007|Чжэн Цзе Янь Цзы|Пэн Шуай Сунь Тяньтянь|7-5 6-0|
2006|Лиза Реймонд (3) Саманта Стосур|Вирхиния Руано-Паскуаль Меганн Шонесси|3-6 6-1 6-1|
2005|Кончита Мартинес (2) Вирхиния Руано-Паскуаль (4)|Ивета Бенешова Квета Пешке|6-1 6-4|
2004|Вирхиния Руано-Паскуаль (3) Паола Суарес (3)|Мартина Навратилова Лиза Реймонд|6-4, 6-1|
2003|Вирхиния Руано-Паскуаль (2) Паола Суарес (2)|Жанетта Гусарова Кончита Мартинес|6-0 6-3|
2002|Лиза Реймонд (2) Ренне Стаббс(2)|Каролина Вис Александра Фусаи|6-4 3-6 7-6(4)|
2001|Лиза Реймонд Ренне Стаббс|Вирхиния Руано Паола Суарес|5-7 7-6(5) 6-3|
2000|Вирхиния Руано Паола Суарес|Кончита Мартинес Патрисия Тарабини|7-5 6-3|
1999|Елена Лиховцева Яна Новотна (2)|Барбара Шетт Патти Шнидер|6-1 6-4|
1998|Кончита Мартинес Патрисия Тарабини|Лиза Реймонд Ренне Стаббс|3-6 6-4 6-4|
1997|Мэри-Джо Фернандес Мартина Хингис|Линдсей Дэвенпорт Яна Новотна|7-5 4-6 6-1|
1996|Яна Новотна Аранча Санчес-Викарио (4)|Джиджи Фернандес Мэри-Джо Фернандес|6-2 6-3|
1995|Николь Арендт Манон Боллеграф|Наталья Зверева Джиджи Фернандес|0-6 6-3 6-4|
1994|Лори Макнил (2) Аранча Санчес-Викарио (3)|Наталья Зверева Джиджи Фернандес|6-4 4-1 — отказ|
1993|Наталья Зверева (3) Джиджи Фернандес|Катрина Адамс Манон Боллеграф|6-3 6-1|
1992|Наталья Зверева (2) Аранча Санчес-Викарио (2)|Яна Новотна Лариса Савченко-Нейланд|6-4 6-2|
1991|Наталья Зверева Клаудиа Коде-Кильш (2)|Лиз Грегори Мери-Лу Дэниелс|6-4 6-0|
1990|Мартина Навратилова (7) Аранча Санчес-Викарио|Наталья Зверева Мерседес Пас|6-2 6-2|
1989|Гана Мандликова (2) Мартина Навратилова (6)|Мери-Лу Дэниелс Венди Уайт|6-4 6-1|
1988|Лори Макнил Мартина Навратилова (5)|Клаудиа Коде-Кильш Габриэла Сабатини|6-2 2-6 6-3|
1987|Мерседес Пас Ева Пфафф|Зина Гаррисон-Джексон Лори Макнил|7-6(6) 7-5|
1986|Крис Эверт (2) Энн Уайт|Штеффи Граф Катрин Танвье|6-3 6-3|
1985|Розалин Фербенк Пэм Шрайвер (2)|Светлана Пархоменко Лариса Савченко|6-4 6-1|
1984|Клаудиа Коде-Кильш Гана Мандликова|Шарон Уолш Энн Хоббс|7-5 6-2|
1983|Мартина Навратилова (4) Кэнди Рейнольдс|Андреа Джегер Пола Смит|6-2 6-3|
1982|Мартина Навратилова (3) Пэм Шрайвер|Джоанна Расселл Вирджиния Рузичи|6-1 6-2|
1981|Розмари Казальс (4) Венди Тёрнбулл|Пэм Шрайвер Мима Яушовец|7-5 7-5|
1980|Кэти Джордан Энн Смит|Кэнди Рейнольдс Пола Смит|6-2 6-1|
1979|Розмари Казальс (3) Мартина Навратилова (2)|Франсуаза Дюрр Бетти Стове|6-4, 7-5|
1978|Билли-Джин Кинг Мартина Навратилова|Грир Стивенс Мона Шаллау|6-3 7-5|
1977|Розмари Казальс (2) Крис Эверт|Франсуаза Дюрр Вирджиния Уэйд|1-6 6-2 6-3|
1976|Линки Босхофф Илана Клосс|Валери Зигерфасс Кэти Кайкендолл|6-3 6-2|
1975|Ивонн Гулагонг-Коули Вирджиния Уэйд|Розмари Казальс Ольга Морозова|4-6 6-4 6-2|
1974|Розмари Казальс Ольга Морозова|Хелен Гурли-Коули Карен Кранчке|6-2 6-1|
1973|Франсуаза Дюрр Бетти Стове|Розмари Казальс Билли-Джин Кинг|3-6 6-4 6-3|
